date,cpi_yoy,fx,market_rate,output_gap,policy_rate,rem_12
2004-01-31,2.7,2.93,1.5,98.47168325539808,,7.5
2004-02-29,2.3,2.92,1.125,98.19064254370198,,7.0
2004-03-31,2.3,2.86,1.6875,97.74609616725036,,7.1
2004-04-30,3.1,2.85,1.8125,95.17945546013364,,7.4
2004-05-31,4.2,2.96,3.875,96.8510958056157,,7.6
2004-06-30,4.9,2.96,2.4375,98.63192098609495,,7.5
2004-07-31,4.9,2.98,4.0,100.86192521384314,,7.4
2004-08-31,5.3,3.0,4.4375,102.20308786595405,,7.4
2004-09-30,5.9,2.98,5.1875,102.36331921150273,,7.3
2004-10-31,5.7,2.98,4.375,103.1259901773394,,7.1
2004-11-30,5.4,2.95,4.125,103.65116985187596,,6.8
2004-12-31,6.1,2.97,4.0,102.72361346128989,,6.6
2005-01-31,7.2,2.93,2.875,105.69476778424124,,
2005-02-28,8.1,2.93,2.875,105.9876216458835,,7.0
2005-03-31,9.2,2.92,3.3125,106.79271638943956,,8.3
2005-04-30,8.8,2.91,4.6875,108.07997054357725,,8.8
2005-05-31,8.6,2.89,5.0,109.21162030432716,,8.6
2005-06-30,9.0,2.89,5.9375,108.64629487617414,,8.3
2005-07-31,9.6,2.86,6.1875,109.15502692212075,,9.7
2005-08-31,9.7,2.91,5.5,109.37697997877228,,9.6
2005-09-30,10.3,2.91,6.0625,109.29027156858923,,9.6
2005-10-31,10.7,3.01,6.3125,109.92308013582156,,10.8
2005-11-30,12.0,2.97,7.875,111.14429815665324,,12.0
2005-12-31,12.3,3.03,7.625,112.917270710617,,12.5
2006-01-31,12.1,3.06,8.0625,113.88452907699022,,12.3
2006-02-28,11.5,3.07,7.375,114.74221639652843,,12.4
2006-03-31,11.1,3.08,8.625,114.27883501538788,,12.2
2006-04-30,11.6,3.04,9.0,115.73217550954097,,12.1
2006-05-31,11.5,3.09,8.9375,115.04519426997506,,12.0
2006-06-30,11.0,3.08,9.125,116.25909587691984,,11.5
2006-07-31,10.6,3.07,9.4375,118.18152792757704,,11.2
2006-08-31,10.7,3.1,9.4375,118.84610066929176,,10.3
2006-09-30,10.4,3.1,9.5,119.84325796725844,,10.3
2006-10-31,10.5,3.09,9.5625,120.58616605137338,,10.1
2006-11-30,10.0,3.07,9.75,120.62424057348952,,10.0
2006-12-31,9.8,3.07,9.875,123.31007553609436,,10.3
2007-01-31,9.7,3.11,8.9375,122.08937900860444,,10.2
2007-02-28,9.6,3.1,8.0,124.64439293103835,,10.1
2007-03-31,9.1,3.1,8.3125,126.49722600835683,,9.7
2007-04-30,8.9,3.09,7.6875,125.36055344753709,,9.9
2007-05-31,8.8,3.08,7.75,127.21290153417806,,9.9
2007-06-30,8.8,3.09,8.1875,128.41781734541198,,9.9
2007-07-31,8.6,3.12,9.9375,127.8063027883619,,10.0
2007-08-31,8.7,3.16,11.5,128.75199880702692,,10.2
2007-09-30,8.6,3.15,11.75,129.59269831212222,,10.3
2007-10-31,8.4,3.15,13.375,131.22777567594954,,10.4
2007-11-30,8.5,3.14,13.8125,132.65961957408888,,10.0
